iter	Passed	Remaining
0	200	200492
1	204	102256
2	210	69849
3	213	53255
4	217	43311
5	221	36770
6	226	32080
7	229	28499
8	233	25736
9	238	23587
10	242	21811
11	246	20273
12	250	19013
13	255	17984
14	259	17014
15	262	16152
16	267	15442
17	270	14738
18	272	14077
19	274	13468
20	276	12910
21	280	12459
22	282	12003
23	284	11571
24	286	11174
25	288	10797
26	289	10448
27	291	10124
28	293	9834
29	296	9572
30	298	9321
31	300	9078
32	301	8841
33	303	8622
34	305	8427
35	307	8232
36	310	8070
37	312	7912
38	314	7745
39	316	7590
40	318	7439
41	319	7296
42	322	7174
43	325	7072
44	328	6962
45	329	6843
46	331	6726
47	333	6613
48	335	6505
49	337	6406
50	340	6328
51	342	6245
52	344	6154
53	346	6067
54	348	5980
55	349	5896
56	351	5820
57	354	5751
58	357	5701
59	359	5634
60	361	5565
61	363	5499
62	365	5434
63	367	5370
64	369	5312
65	371	5260
66	373	5206
67	375	5147
68	377	5095
69	379	5038
70	380	4984
71	382	4931
72	387	4916
73	389	4874
74	391	4829
75	394	4795
76	396	4751
77	398	4708
78	401	4677
79	403	4636
80	404	4593
81	406	4552
82	407	4503
83	409	4464
84	411	4432
85	413	4398
86	416	4375
87	418	4342
88	420	4306
89	422	4270
90	423	4234
91	425	4200
92	427	4165
93	430	4144
94	432	4115
95	433	4085
96	435	4054
97	437	4022
98	438	3991
99	440	3961
100	441	3931
101	443	3902
102	445	3879
103	447	3854
104	448	3827
105	450	3799
106	452	3774
107	453	3747
108	455	3722
109	456	3696
110	458	3671
111	460	3649
112	462	3628
113	463	3604
114	465	3580
115	466	3558
116	468	3533
117	469	3510
118	471	3487
119	472	3464
120	474	3448
121	476	3430
122	478	3411
123	479	3390
124	481	3370
125	482	3349
126	484	3327
127	485	3309
128	487	3290
129	489	3275
130	491	3259
131	493	3242
132	494	3225
133	496	3207
134	498	3191
135	499	3173
136	501	3156
137	502	3140
138	504	3126
139	507	3115
140	509	3102
141	510	3083
142	511	3068
143	513	3052
144	515	3038
145	516	3023
146	518	3010
147	520	2998
148	522	2984
149	524	2970
150	525	2956
151	527	2942
152	529	2928
153	530	2915
154	532	2901
155	534	2891
156	536	2881
157	538	2868
158	540	2856
159	541	2845
160	543	2830
161	544	2817
162	546	2805
163	548	2796
164	552	2795
165	554	2786
166	556	2776
167	558	2766
168	561	2760
169	565	2759
170	567	2751
171	571	2748
172	573	2742
173	578	2744
174	581	2742
175	583	2732
176	585	2722
177	587	2711
178	589	2701
179	590	2691
180	594	2689
181	596	2680
182	598	2672
183	600	2663
184	602	2654
185	604	2645
186	606	2636
187	608	2629
188	610	2621
189	612	2611
190	614	2602
191	616	2593
192	618	2584
193	619	2575
194	623	2573
195	625	2566
196	627	2557
197	629	2548
198	631	2539
199	632	2531
200	634	2523
201	637	2520
202	640	2513
203	642	2505
204	643	2497
205	645	2489
206	647	2480
207	649	2473
208	651	2467
209	654	2461
210	656	2454
211	658	2447
212	660	2440
213	662	2433
214	664	2425
215	666	2419
216	668	2413
217	670	2405
218	672	2397
219	674	2390
220	676	2382
221	677	2375
222	679	2367
223	682	2362
224	684	2357
225	686	2350
226	688	2343
227	689	2336
228	691	2329
229	693	2322
230	695	2315
231	698	2311
232	700	2305
233	702	2299
234	704	2292
235	706	2286
236	707	2279
237	709	2272
238	712	2269
239	714	2263
240	716	2257
241	718	2250
242	720	2243
243	721	2236
244	723	2229
245	725	2222
246	727	2217
247	729	2211
248	731	2205
249	732	2198
250	734	2192
251	736	2185
252	737	2178
253	739	2171
254	740	2164
255	742	2158
256	745	2154
257	746	2148
258	748	2141
259	750	2135
260	751	2128
261	753	2122
262	754	2115
263	756	2109
264	758	2103
265	760	2097
266	761	2091
267	763	2085
268	764	2078
269	766	2072
270	768	2066
271	769	2060
272	771	2055
273	773	2050
274	775	2045
275	777	2040
276	779	2034
277	781	2029
278	782	2023
279	784	2017
280	786	2013
281	789	2009
282	790	2003
283	792	1997
284	794	1992
285	795	1986
286	797	1980
287	798	1974
288	800	1968
289	802	1965
290	804	1959
291	806	1954
292	807	1949
293	809	1943
294	810	1938
295	812	1932
296	814	1927
297	816	1922
298	818	1918
299	820	1913
300	821	1908
301	823	1903
302	825	1898
303	827	1893
304	828	1888
305	830	1883
306	832	1878
307	834	1874
308	835	1869
309	837	1864
310	839	1859
311	840	1854
312	842	1849
313	844	1844
314	846	1840
315	848	1836
316	850	1831
317	851	1826
318	853	1821
319	854	1816
320	856	1811
321	858	1806
322	859	1802
323	862	1798
324	864	1795
325	866	1791
326	868	1786
327	870	1782
328	871	1778
329	873	1773
330	874	1768
331	876	1764
332	879	1761
333	881	1757
334	883	1753
335	884	1748
336	886	1743
337	887	1739
338	889	1734
339	892	1732
340	894	1728
341	896	1724
342	897	1719
343	899	1715
344	901	1710
345	902	1706
346	904	1701
347	905	1696
348	907	1693
349	909	1688
350	910	1684
351	912	1679
352	914	1675
353	915	1671
354	917	1666
355	918	1662
356	920	1658
357	922	1654
358	924	1651
359	926	1647
360	928	1642
361	929	1638
362	931	1634
363	933	1630
364	935	1626
365	937	1623
366	939	1620
367	941	1616
368	942	1612
369	944	1608
370	946	1604
371	948	1600
372	949	1596
373	952	1593
374	954	1590
375	956	1587
376	958	1583
377	960	1580
378	961	1576
379	963	1572
380	965	1569
381	968	1566
382	970	1564
383	972	1560
384	974	1556
385	976	1553
386	978	1549
387	980	1546
388	982	1543
389	985	1541
390	987	1538
391	989	1534
392	991	1530
393	993	1528
394	995	1524
395	998	1522
396	1000	1519
397	1002	1516
398	1004	1513
399	1006	1509
400	1008	1506
401	1010	1502
402	1012	1500
403	1015	1497
404	1017	1494
405	1019	1490
406	1020	1487
407	1022	1483
408	1024	1479
409	1026	1476
410	1028	1473
411	1030	1470
412	1032	1467
413	1034	1464
414	1036	1460
415	1038	1457
416	1040	1454
417	1042	1451
418	1050	1456
419	1052	1453
420	1055	1451
421	1057	1448
422	1060	1445
423	1064	1446
424	1066	1442
425	1069	1440
426	1070	1437
427	1074	1436
428	1077	1434
429	1079	1431
430	1082	1429
431	1084	1425
432	1087	1423
433	1090	1421
434	1092	1419
435	1094	1415
436	1096	1413
437	1099	1410
438	1101	1407
439	1104	1405
440	1108	1405
441	1110	1402
442	1112	1399
443	1114	1396
444	1116	1392
445	1119	1390
446	1121	1387
447	1124	1385
448	1126	1382
449	1127	1378
450	1129	1374
451	1131	1371
452	1135	1371
453	1138	1368
454	1142	1369
455	1144	1365
456	1146	1362
457	1149	1360
458	1152	1358
459	1154	1355
460	1156	1352
461	1157	1348
462	1159	1345
463	1161	1341
464	1163	1338
465	1165	1335
466	1167	1332
467	1169	1329
468	1171	1326
469	1173	1323
470	1175	1319
471	1176	1316
472	1178	1313
473	1180	1310
474	1183	1307
475	1185	1304
476	1186	1301
477	1188	1297
478	1190	1294
479	1191	1291
480	1194	1288
481	1196	1285
482	1198	1282
483	1201	1281
484	1203	1277
485	1204	1274
486	1206	1270
487	1210	1269
488	1212	1266
489	1214	1263
490	1215	1260
491	1217	1257
492	1219	1253
493	1220	1250
494	1224	1248
495	1226	1246
496	1228	1242
497	1230	1240
498	1232	1237
499	1234	1234
500	1235	1230
501	1238	1228
502	1240	1225
503	1243	1223
504	1245	1220
505	1246	1217
506	1248	1214
507	1250	1211
508	1253	1208
509	1256	1206
510	1258	1204
511	1260	1201
512	1262	1198
513	1264	1195
514	1266	1192
515	1269	1190
516	1271	1188
517	1274	1185
518	1275	1182
519	1277	1179
520	1279	1176
521	1281	1173
522	1284	1171
523	1285	1168
524	1289	1166
525	1290	1163
526	1292	1160
527	1294	1156
528	1295	1153
529	1298	1151
530	1300	1148
531	1302	1146
532	1305	1143
533	1307	1140
534	1308	1137
535	1310	1134
536	1313	1132
537	1315	1129
538	1318	1127
539	1320	1124
540	1322	1121
541	1323	1118
542	1325	1115
543	1328	1113
544	1330	1111
545	1332	1108
546	1335	1106
547	1337	1103
548	1339	1100
549	1341	1097
550	1345	1096
551	1348	1094
552	1350	1091
553	1351	1088
554	1353	1085
555	1355	1082
556	1358	1080
557	1360	1077
558	1362	1074
559	1364	1072
560	1367	1069
561	1368	1066
562	1370	1063
563	1374	1062
564	1377	1060
565	1379	1057
566	1381	1054
567	1382	1051
568	1384	1048
569	1387	1046
570	1390	1044
571	1392	1042
572	1394	1039
573	1396	1036
574	1398	1033
575	1400	1030
576	1402	1027
577	1405	1025
578	1408	1023
579	1410	1021
580	1412	1018
581	1414	1015
582	1417	1013
583	1420	1012
584	1423	1009
585	1425	1007
586	1427	1004
587	1429	1001
588	1431	998
589	1434	996
590	1437	995
591	1440	992
592	1442	989
593	1444	987
594	1449	986
595	1451	983
596	1453	981
597	1455	978
598	1457	975
599	1459	972
600	1461	970
601	1464	968
602	1467	965
603	1469	963
604	1471	960
605	1473	957
606	1474	954
607	1477	952
608	1480	950
609	1483	948
610	1485	945
611	1487	943
612	1489	940
613	1494	939
614	1497	937
615	1499	934
616	1501	932
617	1503	929
618	1505	926
619	1509	925
620	1512	923
621	1514	920
622	1516	917
623	1518	915
624	1520	912
625	1523	910
626	1527	908
627	1530	906
628	1532	903
629	1534	901
630	1536	898
631	1539	896
632	1541	893
633	1543	891
634	1545	888
635	1547	885
636	1549	882
637	1551	880
638	1553	877
639	1556	875
640	1558	873
641	1560	870
642	1562	867
643	1564	864
644	1567	862
645	1570	860
646	1573	858
647	1574	855
648	1576	852
649	1578	849
650	1579	847
651	1583	845
652	1585	842
653	1587	839
654	1589	837
655	1591	834
656	1593	831
657	1595	829
658	1598	827
659	1600	824
660	1602	822
661	1604	819
662	1606	816
663	1608	813
664	1609	810
665	1612	808
666	1615	806
667	1616	803
668	1618	800
669	1620	798
670	1621	795
671	1623	792
672	1625	789
673	1628	787
674	1630	785
675	1632	782
676	1633	779
677	1635	776
678	1637	774
679	1639	771
680	1642	769
681	1645	767
682	1647	764
683	1649	761
684	1651	759
685	1652	756
686	1654	753
687	1656	751
688	1659	749
689	1661	746
690	1663	743
691	1665	741
692	1666	738
693	1668	735
694	1670	733
695	1672	730
696	1674	728
697	1676	725
698	1678	722
699	1680	720
700	1681	717
701	1683	714
702	1685	712
703	1687	709
704	1689	707
705	1691	704
706	1693	701
707	1695	699
708	1696	696
709	1698	693
710	1701	691
711	1703	689
712	1706	686
713	1708	684
714	1710	681
715	1711	678
716	1713	676
717	1716	674
718	1719	672
719	1721	669
720	1723	666
721	1725	664
722	1727	661
723	1729	659
724	1731	656
725	1734	654
726	1736	652
727	1738	649
728	1740	646
729	1742	644
730	1743	641
731	1746	639
732	1748	637
733	1751	634
734	1753	632
735	1755	629
736	1757	627
737	1759	624
738	1762	622
739	1764	619
740	1768	617
741	1769	615
742	1771	612
743	1772	610
744	1775	607
745	1777	605
746	1779	602
747	1781	600
748	1783	597
749	1785	595
750	1787	592
751	1788	589
752	1791	587
753	1793	585
754	1795	582
755	1797	579
756	1798	577
757	1800	574
758	1801	572
759	1803	569
760	1806	567
761	1808	564
762	1810	562
763	1812	559
764	1814	557
765	1816	554
766	1818	552
767	1822	550
768	1824	548
769	1826	545
770	1828	543
771	1829	540
772	1831	537
773	1833	535
774	1836	533
775	1839	530
776	1841	528
777	1843	526
778	1845	523
779	1846	520
780	1848	518
781	1852	516
782	1854	514
783	1857	511
784	1858	509
785	1860	506
786	1862	504
787	1865	501
788	1868	499
789	1871	497
790	1873	495
791	1875	492
792	1877	490
793	1880	487
794	1883	485
795	1886	483
796	1888	481
797	1890	478
798	1892	476
799	1894	473
800	1897	471
801	1899	468
802	1902	466
803	1904	464
804	1906	461
805	1908	459
806	1912	457
807	1914	455
808	1917	452
809	1919	450
810	1920	447
811	1922	445
812	1925	442
813	1928	440
814	1930	438
815	1933	435
816	1934	433
817	1936	430
818	1938	428
819	1941	426
820	1943	423
821	1946	421
822	1948	419
823	1950	416
824	1952	414
825	1956	412
826	1958	409
827	1961	407
828	1964	405
829	1965	402
830	1967	400
831	1970	397
832	1973	395
833	1976	393
834	1978	391
835	1980	388
836	1982	386
837	1984	383
838	1987	381
839	1990	379
840	1992	376
841	1994	374
842	1996	371
843	1998	369
844	2001	367
845	2003	364
846	2006	362
847	2008	360
848	2010	357
849	2012	355
850	2016	353
851	2019	350
852	2022	348
853	2024	346
854	2026	343
855	2028	341
856	2030	338
857	2034	336
858	2037	334
859	2039	332
860	2041	329
861	2043	327
862	2047	325
863	2049	322
864	2052	320
865	2054	317
866	2056	315
867	2058	313
868	2061	310
869	2063	308
870	2066	306
871	2068	303
872	2070	301
873	2072	298
874	2074	296
875	2077	294
876	2079	291
877	2081	289
878	2083	286
879	2085	284
880	2086	281
881	2088	279
882	2092	277
883	2094	274
884	2096	272
885	2098	270
886	2100	267
887	2102	265
888	2104	262
889	2107	260
890	2110	258
891	2112	255
892	2114	253
893	2116	250
894	2117	248
895	2120	246
896	2122	243
897	2125	241
898	2127	239
899	2129	236
900	2131	234
901	2133	231
902	2135	229
903	2137	227
904	2139	224
905	2142	222
906	2144	219
907	2146	217
908	2147	215
909	2151	212
910	2153	210
911	2156	208
912	2158	205
913	2160	203
914	2161	200
915	2163	198
916	2165	196
917	2167	193
918	2170	191
919	2172	188
920	2173	186
921	2175	184
922	2176	181
923	2179	179
924	2181	176
925	2184	174
926	2187	172
927	2189	169
928	2190	167
929	2192	165
930	2195	162
931	2198	160
932	2200	158
933	2202	155
934	2204	153
935	2205	150
936	2207	148
937	2210	146
938	2213	143
939	2215	141
940	2217	139
941	2219	136
942	2220	134
943	2222	131
944	2224	129
945	2227	127
946	2229	124
947	2231	122
948	2233	120
949	2235	117
950	2236	115
951	2238	112
952	2241	110
953	2243	108
954	2245	105
955	2247	103
956	2249	101
957	2251	98
958	2252	96
959	2255	93
960	2257	91
961	2259	89
962	2261	86
963	2263	84
964	2265	82
965	2266	79
966	2269	77
967	2271	75
968	2274	72
969	2277	70
970	2279	68
971	2280	65
972	2282	63
973	2284	60
974	2287	58
975	2289	56
976	2291	53
977	2292	51
978	2294	49
979	2296	46
980	2298	44
981	2300	42
982	2302	39
983	2304	37
984	2306	35
985	2308	32
986	2310	30
987	2311	28
988	2313	25
989	2316	23
990	2318	21
991	2320	18
992	2322	16
993	2323	14
994	2325	11
995	2327	9
996	2329	7
997	2331	4
998	2333	2
999	2335	0
